X,Y,Z,Z_Dither,Bregma_AP,Bregma_DV,Bregma_ML,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,ID,Acronym
317.4969,82.5626,211.6083,210.928,59.7927,-1594.0648,2237.4237,15114.6,749.85,0,0,Left,625,SSpul5
316.456,83.6893,211.5967,210.2937,60.0817,-1622.2315,2211.4001,22197.6596,762.8936,0,0,Left,625,SSpul5
310.2036,83.7704,211.6062,212.129,59.8462,-1624.2602,2055.0912,21130.0889,1521.4,0,0,Left,945,SSpul6a
319.6222,84.7425,211.5662,210.5845,60.8438,-1648.5613,2290.5539,11031.0476,565.5714,0,0,Left,625,SSpul5
333.5087,86.6638,211.4517,211.4411,63.7072,-1696.5945,2637.7171,9657.0476,405.0952,0,0,Left,625,SSpul5
265.3343,56.039,215.8871,215.3233,-47.177,-930.975,933.3585,16569,1618.24,0,0,Left,767,MOs5
262.4036,55.8065,215.8367,214.9521,-45.9176,-925.1628,860.091,13629.2,921.25,0,0,Left,767,MOs5
265.377,57.1485,215.8645,214.8527,-46.6125,-958.7123,934.4242,19862.75,1449.25,0,0,Left,767,MOs5
271.3168,57.5484,215.9258,214.8848,-48.1457,-968.7106,1082.921,16696.0526,978.1053,0,0,Left,648,MOp5
272.3617,58.708,215.9039,217.3125,-47.5966,-997.7003,1109.0432,28935.7857,1059.3095,0,0,Left,648,MOp5
276.3841,58.9111,215.9125,217.3732,-47.8114,-1002.7772,1209.6014,27490.4054,1735.1757,0,0,Left,648,MOp5
272.3617,58.708,215.9039,216.4558,-47.5966,-997.7003,1109.0432,22737.3182,1289.4091,0,0,Left,648,MOp5
271.4091,59.7494,215.8687,214.8982,-46.7187,-1023.7342,1085.2286,29690.0341,1066.2955,0,0,Left,648,MOp5
269.4177,59.6274,215.8547,215.9936,-46.3681,-1020.6853,1035.4419,41277.5287,1146.7241,0,0,Left,648,MOp5
264.4831,59.2891,215.8003,216.3582,-45.0081,-1012.2269,912.0776,21509.4694,1230.9184,0,0,Left,1021,MOs6a
265.4649,59.36,215.8133,216.9142,-45.333,-1013.9998,936.6222,19077.2857,1213.8571,0,0,Left,1021,MOs6a
272.4567,60.9031,215.8417,215.7713,-46.0436,-1052.5766,1111.4172,27189.5686,1183.9412,0,0,Left,648,MOp5
278.5023,61.193,215.848,216.833,-46.1999,-1059.824,1262.5583,22277.7143,2095.7347,0,0,Left,648,MOp5
275.4693,61.0604,215.8502,216.0152,-46.2542,-1056.5093,1186.7324,36689.4574,1999.6596,0,0,Left,648,MOp5
277.4891,61.1518,215.8499,216.896,-46.2484,-1058.7938,1237.2272,24217.8163,4051.7959,0,0,Left,648,MOp5
269.4651,60.725,215.8234,214.4272,-45.5845,-1048.1243,1036.628,28803.881,1148.619,0,0,Left,648,MOp5
263.5475,60.3223,215.7595,215.3221,-43.9882,-1038.0565,888.688,15828.4643,1758.5357,0,0,Left,1021,MOs6a
286.7283,62.5016,215.7566,217.1062,-43.9153,-1092.5405,1468.2083,19392.431,1394.1207,0,0,Left,648,MOp5
281.6023,62.3948,215.8017,214.8891,-45.0419,-1089.8699,1340.0572,31037.2857,1820.7714,0,0,Left,648,MOp5
263.5918,61.4253,215.7307,216.8976,-43.2669,-1065.6318,889.7953,19733.5918,1022.0612,0,0,Left,1021,MOs6a
290.8641,62.5125,215.6963,216.4822,-42.4072,-1092.8123,1571.6014,16343.4474,2203.5263,0,0,Left,648,MOp5
272.5061,61.9965,215.807,215.3049,-45.1753,-1079.9127,1112.6523,28664.1667,1332.9667,0,0,Left,648,MOp5
271.5063,61.9396,215.8022,215.7498,-45.0554,-1078.4898,1087.6584,28951.1458,1271.0208,0,0,Left,648,MOp5
275.5187,62.1538,215.8152,216.0963,-45.3809,-1083.8461,1187.9686,17561.1538,1707.0769,0,0,Left,648,MOp5
283.6467,62.4489,215.7875,216.1988,-44.6883,-1091.2237,1391.1683,21998.7209,1939.5581,0,0,Left,648,MOp5
266.5897,62.7239,215.7302,215.8887,-43.2548,-1098.098,964.7433,26051.7778,1068.2963,0,0,Left,1021,MOs6a
270.5088,61.8807,215.7964,215.7557,-44.911,-1077.0172,1062.7212,17730.0476,1480.2857,0,0,Left,844,MOp6a
281.6511,63.4895,215.766,216.7062,-44.1509,-1117.2372,1341.2783,39330.0349,1672.0233,0,0,Left,648,MOp5
285.7448,63.5884,215.7355,216.8932,-43.3877,-1119.7094,1443.6212,21709.4211,1373.7368,0,0,Left,648,MOp5
283.7433,64.6402,215.7162,214.8938,-42.9051,-1146.0053,1393.583,25575.4471,1612.8824,0,0,Left,648,MOp5
264.6188,62.5927,215.7107,217.0293,-42.7668,-1094.8184,915.4697,13208.0952,907.4762,0,0,Left,1021,MOs6a
278.6013,63.3799,215.7767,217.1121,-44.4187,-1114.4983,1265.0319,24560.383,3522.617,0,0,Left,648,MOp5
286.8195,64.7023,215.6903,215.571,-42.2577,-1147.5586,1470.4865,24805.2391,1676.6739,0,0,Left,648,MOp5
